Student_ID,Student_Name,Total_Days,Days_Present,Attendance,Attendance_Marks,Internal_Marks,Assignment_Marks,Study_Hours,Previous_Results,Previous_Grade,Pass_Fail,Performance,Performance_Label,Next_Exam_Marks
STUD1154,Rohan Patel,206,121,58.74,2.9,46.12,8.92,1.3,76.54,First Class,Pass,1,Good,76.51
STUD1155,Aditi Iyer,192,111,57.81,2.87,35.36,3.7,7.58,33.36,Fail,Fail,0,Average,62.74
STUD1156,Vikram Gupta,220,138,62.73,2.81,7.63,10.84,0.25,33.41,Fail,Fail,0,Poor,48.83
STUD1157,Vikram Nair,182,141,77.47,4.02,28.81,17.46,0.22,22.93,Fail,Fail,0,Average,72.89
STUD1158,Aditi Mehta,218,187,85.78,4.51,30.34,14.64,3.24,78.91,First Class,Pass,1,Good,100.0
STUD1159,Aarav Gupta,185,154,83.24,4.07,21.21,16.13,4.89,73.1,First Class,Pass,1,Good,100.0
STUD1160,Kavya Sharma,187,120,64.17,3.83,36.82,13.18,7.7,57.97,Second Class,Pass,1,Good,100.0
STUD1161,Kavya Kumar,206,201,97.57,4.78,46.72,13.85,6.83,87.53,Distinction,Pass,1,Good,100.0
STUD1162,Kavya Gupta,188,163,86.7,4.2,46.28,16.98,4.46,84.45,Fail,Pass,1,Good,100.0
STUD1163,Rohan Iyer,216,168,77.78,3.75,22.54,4.99,2.74,66.83,Second Class,Pass,0,Good,82.8
STUD1164,Sana Kumar,212,171,80.66,3.79,5.66,9.79,9.97,89.46,Distinction,Pass,1,Good,100.0
STUD1165,Sai Singh,203,144,70.94,3.38,49.24,4.42,4.26,36.47,Fail,Fail,1,Average,70.49
STUD1166,Aditi Kapoor,194,121,62.37,2.69,41.94,19.75,4.51,28.95,Fail,Fail,1,Good,76.25
STUD1167,Aditi Gupta,211,143,67.77,3.33,6.23,18.88,1.64,41.58,Pass,Pass,0,Good,88.11
STUD1168,Riya Gupta,211,185,87.68,4.4,46.04,0.79,7.95,24.57,Fail,Fail,1,Good,79.54
STUD1169,Sai Gupta,203,103,50.74,1.85,43.49,14.11,6.94,62.49,Second Class,Pass,1,Good,99.48
STUD1170,Vikram Kumar,220,123,55.91,2.76,25.94,18.5,2.21,94.93,Distinction,Pass,1,Good,91.9
STUD1171,Aditya Patel,191,100,52.36,2.63,29.56,3.61,0.82,23.15,Fail,Fail,0,Poor,36.38
STUD1172,Nivedita Iyer,218,113,51.83,2.75,19.95,11.36,6.8,29.77,Fail,Fail,0,Average,66.08
STUD1173,Nisha Iyer,181,168,92.82,5.0,2.74,18.31,6.55,56.18,Second Class,Pass,1,Good,100.0
STUD1174,Aditi Nair,182,155,85.16,4.51,16.76,0.68,2.73,94.71,Distinction,Pass,0,Good,87.89
STUD1175,Aditi Patel,216,159,73.61,3.49,40.14,13.95,9.51,45.29,Pass,Pass,1,Good,100.0
STUD1176,Riya Mehta,196,108,55.1,2.53,0.23,5.95,1.51,60.58,Second Class,Pass,0,Average,52.74
STUD1177,Nivedita Mehta,181,135,74.59,3.9,16.67,18.49,4.32,23.33,Fail,Fail,0,Good,75.37
STUD1178,Rohan Singh,181,133,73.48,3.51,19.91,19.42,9.44,31.87,Fail,Fail,1,Good,100.0
STUD1179,Sana Iyer,207,121,58.45,2.55,26.87,18.89,4.2,98.93,Distinction,Pass,1,Good,100.0
STUD1180,Parth Sharma,202,145,71.78,4.3,45.99,9.48,6.39,97.21,Distinction,Pass,1,Good,100.0
STUD1181,Priya Gupta,216,151,69.91,3.4,17.32,17.24,3.98,20.4,Fail,Fail,0,Average,72.07
STUD1182,Parth Kapoor,211,170,80.57,3.84,17.35,16.89,2.74,96.14,Distinction,Pass,1,Good,100.0
STUD1183,Meera Singh,212,173,81.6,3.42,36.88,6.38,9.84,71.13,First Class,Pass,1,Good,100.0
STUD1184,Parth Gupta,180,94,52.22,2.87,22.61,16.58,4.09,89.43,Distinction,Pass,1,Good,89.13
STUD1185,Isha Gupta,198,136,68.69,3.14,11.23,0.74,8.94,56.38,Second Class,Pass,0,Good,81.09
STUD1186,Karan Verma,181,147,81.22,4.07,22.62,11.93,2.3,61.25,Second Class,Pass,0,Good,95.81
STUD1187,Vikram Singh,205,154,75.12,4.05,7.04,4.6,2.13,59.11,Second Class,Pass,0,Good,76.6
STUD1188,Isha Iyer,211,196,92.89,4.35,8.82,2.41,0.31,73.35,First Class,Pass,0,Good,75.1
STUD1189,Parth Kumar,185,153,82.7,4.16,24.92,1.54,6.52,31.17,Fail,Fail,0,Average,73.25
STUD1190,Kavya Verma,211,123,58.29,3.37,20.95,13.93,3.69,22.4,Fail,Fail,0,Average,52.54
STUD1191,Nisha Kumar,183,98,53.55,1.94,45.74,6.8,8.64,44.63,Pass,Pass,1,Good,85.98
STUD1192,Nisha Verma,190,156,82.11,3.86,18.12,14.5,4.73,76.37,First Class,Pass,1,Good,98.55
STUD1193,Aditi Singh,196,101,51.53,2.31,29.03,1.31,9.68,36.15,Fail,Fail,0,Poor,49.99
STUD1194,Karan Singh,217,172,79.26,3.91,31.61,6.31,1.86,73.87,First Class,Pass,1,Good,86.7
STUD1195,Riya Verma,203,197,97.04,4.84,0.65,10.79,8.69,97.59,Distinction,Pass,1,Good,100.0
STUD1196,Parth Singh,184,145,78.8,3.62,33.18,15.81,7.77,27.51,Fail,Fail,1,Good,89.03
STUD1197,Aarav Singh,213,148,69.48,3.28,8.9,6.38,7.71,73.81,First Class,Pass,0,Good,93.45
STUD1198,Vikram Singh,185,152,82.16,3.88,48.05,12.52,8.45,55.5,Second Class,Pass,1,Good,100.0
STUD1199,Vikram Singh,201,147,73.13,3.55,7.43,17.72,7.61,89.45,Distinction,Pass,1,Good,100.0
